ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Adwords keywords";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P2262141-250G;"Schüßler Salz Nr. 6 Kalium sulfuricum 250G";"11.38 EUR";"14.60 EUR";2262141;"Die Sauerstoffversorgung der Zellen unterstützen!";"Schüßler Salz Nr. 6";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > leistungssteigernde Mittel > Mundhygiene";6;"11.38 EUR";28%;"3.22 EUR";"Schüßler Salz Nr. 6";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._6_250g.jpg;https://www.vamida.at/schussler-salz-nr-6-kalium-sulfuricum-250g.html;onSale;Active
AT-P2262112-100G;"Schüßler Salz Nr. 6 Kalium sulfuricum 100G";"5.03 EUR";"7.75 EUR";2262112;"Die Sauerstoffversorgung der Zellen unterstützen!";"Schüßler Salz Nr. 6";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > leistungssteigernde Mittel > Mundhygiene";7;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 6";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._6_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-6-kalium-sulfuricum-100g.html;onSale;Active
AT-P2262017-250G;"Schüßler Salz Nr. 5 Kalium phosphoricum 250G";"11.38 EUR";"14.60 EUR";2262017;"Das vitalisierende Schüßler Salz Nr. 5";"Schüßler Salz Nr. 5";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > leistungssteigernde Mittel > Mundhygiene";6;"11.38 EUR";28%;"3.22 EUR";"Schüßler Salz Nr. 5";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._5_250g.jpg;https://www.vamida.at/schussler-salz-nr-5-kalium-phosphoricum-250g.html;onSale;Active
AT-P2261986-100G;"Schüßler Salz Nr. 5 Kalium phosphoricum 100G";"5.03 EUR";"7.75 EUR";2261986;"Das vitalisierende Schüßler Salz Nr. 5";"Schüßler Salz Nr. 5";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > leistungssteigernde Mittel > Mundhygiene";5;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 5";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._5_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-5-kalium-phosphoricum-100g.html;onSale;Active
AT-P2261880-250G;"Schüßler Salz Nr. 4 Kalium chloratum 250G";"11.82 EUR";"14.60 EUR";2261880;"Die vielseitige Heilkraft der Schüßler Salze nutzen!";"Schüßler Salz Nr. 4";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > Blutgefäße";7;"11.82 EUR";24%;"2.78 EUR";"Schüßler Salz Nr. 4";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._4_250g.jpg;https://www.vamida.at/schussler-salz-nr-4-kalium-chloratum-250g.html;onSale;Active
AT-P2261851-100G;"Schüßler Salz Nr. 4 Kalium chloratum 100G";"5.03 EUR";"7.75 EUR";2261851;"Die vielseitige Heilkraft der Schüßler Salze nutzen!";"Schüßler Salz Nr. 4";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > Blutgefäße";9;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 4";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._4_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-4-kalium-chloratum-100g.html;onSale;Active
AT-P2261762-250G;"Schüßler Salz Nr. 3 Ferrum phosphoricum 250G";"11.38 EUR";"14.60 EUR";2261762;"Mithilfe von Schüßler Salzen den Körper unterstützen!";"Schüßler Salz Nr. 3";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Schmerzmittel > Wundversorgung";8;"11.38 EUR";28%;"3.22 EUR";"Schüßler Salz Nr. 3";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._3_250g.jpg;https://www.vamida.at/schussler-salz-nr-3-ferrum-phosphoricum-250g.html;onSale;Active
AT-P2261727-100G;"Schüßler Salz Nr. 3 Ferrum phosphoricum 100G";"5.03 EUR";"7.75 EUR";2261727;"Mithilfe von Schüßler Salzen den Körper unterstützen!";"Schüßler Salz Nr. 3";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Schmerzmittel > Wundversorgung";11;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 3";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._3_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-3-ferrum-phosphoricum-100g.html;onSale;Active
AT-P2261615-250G;"Schüßler Salz Nr. 2 Calcium phosphoricum 250G";"11.38 EUR";"14.60 EUR";2261615;"Mithilfe von Schüßler Salzen den Körper stärken!";"Schüßler Salz Nr. 2";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Schmerzmittel";4;"11.38 EUR";28%;"3.22 EUR";"Schüßler Salz Nr. 2";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._2_250g.jpg;https://www.vamida.at/schussler-salz-nr-2-calcium-phosphoricum-250g.html;onSale;Active
AT-P2261584-100G;"Schüßler Salz Nr. 2 Calcium phosphoricum 100G";"5.03 EUR";"7.75 EUR";2261584;"Mithilfe von Schüßler Salzen den Körper stärken!";"Schüßler Salz Nr. 2";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Schmerzmittel";5;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 2";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._2_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-2-calcium-phosphoricum-100g.html;onSale;Active
