ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Keywords EXACT";"Keywords PHRASE";"Keywords BROAD";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P1251129-20ML;"Vibrocil Nasenspray";"5,01 EUR";"9,40 EUR";1251129;"Stoppt lästigen Niesreiz, öffnet die Nase, auf Lager";"Vibrocil Nasenspray";"Allergie & Heuschnupfen > Erkältung & Abwehr > Nasivin/Vibrocil > Heuschnupfen & Pollenallergie > Erkältung";77;"5,01 EUR";88%;"4,39 EUR";"Vibrocil,Vibrocil Nasenspray";"Vibrocil kaufen,Vibrocil Nasenspray kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1251129-20ML-18210052.jpg;https://www.vamida.at/vibrocil-nasenspray.html;onSale;Active
AT-P0150099-12ST;"Viburcol Kinderzäpfchen";"5,48 EUR";"8,75 EUR";150099;"Zur Behandlung von Unruhezuständen, nur 9 Stück lagernd";"Viburcol Kinderzäpfchen";"Beruhigung, Schlaf & Nerven > Naturheilmittel > Homöopathie > Kinder & Jugendliche > Dr. Peithner > Erkältung > Schlaf > homöopathische Mittel > Babys und Kinder";9;"5,48 EUR";60%;"3,27 EUR";"Viburcol,Viburcol Kinderzäpfchen";"Viburcol kaufen,Viburcol Kinderzäpfchen kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0150099-12ST-17637161.jpg;https://www.vamida.at/viburcol-kinderzapfchen.html;onSale;Active
AT-P0034660-70G;"Midro Tee";"4,98 EUR";"7,70 EUR";34660;"Zur Behebung von gelegentlichen Verstopfungen, nur 19 Stück lagernd";"Midro Tee";"Magen & Darm > Verdauung > gesunde Nahrungsmittel";19;"4,98 EUR";55%;"2,72 EUR";"Midro Tee";"Midro Tee kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/m/i/midro_tee_70g.jpg;https://www.vamida.at/midro-tee.html;onSale;Active
AT-P3129792-500ML;"Leaton sine";"11,78 EUR";"16,90 EUR";3129792;"Das Multivitamin-Tonikum ohne Alkohol und ohne Zucker, nur 15 Stück lagernd";"Leaton sine";"Nahrungsergänzung & Vitalität > Leaton > Erkältung > Nahrungsergänzungsmittel";15;"11,78 EUR";43%;"5,12 EUR";"Leaton sine,Leaton sine Mutivitamin-Tonikum";"Leaton sine kaufen,Leaton sine Mutivitamin-Tonikum kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3129792-500ML-17031409.jpg;https://www.vamida.at/leaton-sine.html;onSale;Active
AT-P3133339-500ML;"Leaton kinder ";"12,07 EUR";"16,90 EUR";3133339;"Speziell für Kinder mit leckerem Fruchtgeschmack, versandfrei ab 45 €";"Leaton kinder";"Nahrungsergänzung & Vitalität > Leaton > Kinder & Jugendliche > Erkältung > Babys und Kinder > Nahrungsergänzungsmittel";0;"12,07 EUR";40%;"4,83 EUR";"Leaton kinder,Leaton kinder Mutivitamin-Tonikum";"Leaton kinder kaufen,Leaton kinder Mutivitamin-Tonikum kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3133339-500ML-17028695.jpg;https://www.vamida.at/leaton-kinder.html;onSale;Active
AT-P3207262-500ML;"Leaton complete";"13,23 EUR";"19,90 EUR";3207262;"Mit Ginseng, Ginkgo, Lecithin, Lutein und Lycopin, auf Lager";"Leaton complete";"Nahrungsergänzung & Vitalität > Leaton > Erkältung > Nahrungsergänzungsmittel";59;"13,23 EUR";50%;"6,67 EUR";"Leaton complete,Leaton complete Mutivitamin-Tonikum";"Leaton complete kaufen,Leaton complete Mutivitamin-Tonikum kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3207262-500ML-17028821.jpg;https://www.vamida.at/leaton-complete.html;onSale;Active
AT-P3129786-500ML;"Leaton classic";"10,93 EUR";"16,90 EUR";3129786;"Das Multivitamin- Tonikum für jeden Tag, auf Lager";"Leaton classic";"Nahrungsergänzung & Vitalität > Leaton > Erkältung > Nahrungsergänzungsmittel";61;"10,93 EUR";55%;"5,97 EUR";"Leaton classic,Leaton classic Mutivitamin-Tonikum";"Leaton classic kaufen,Leaton classic Mutivitamin-Tonikum kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3129786-500ML-17028754.jpg;https://www.vamida.at/leaton-classic.html;onSale;Active
AT-P1339077-20ST;"Sangenor Trinkampullen";"13,79 EUR";"19,85 EUR";1339077;"Bringt Energie und hält Sie gesund, auf Lager";"Sangenor Trinkampullen";"Nahrungsergänzung & Vitalität > Sport & Fitness > leistungssteigernde Mittel > Nahrungsergänzungsmittel";42;"13,79 EUR";44%;"6,06 EUR";"Sangenor,Sangenor Trinkampullen";"Sangenor kaufen,Sangenor Trinkampullen kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1339077-20ST-17099376.jpg;https://www.vamida.at/sangenor-trinkampullen.html;onSale;Active
AT-P2345246-20ST;"Sangenor Sport";"9,10 EUR";"10,90 EUR";2345246;"Vitamin- und Mineralstoff- versorgung für Sportler, versandfrei ab 45 €";"Sangenor Sport";"Nahrungsergänzung & Vitalität > Sport & Fitness > Wintersport & Ski-Urlaub > Nahrungsergänzungsmittel";0;"9,10 EUR";20%;"1,80 EUR";"Sangenor Sport";"Sangenor Sport kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2345246-20ST-17099158.jpg;https://www.vamida.at/sangenor-sport.html;onSale;Active
AT-P2420918-15G;"Similasan Globuli gegen Schnupfen Nr. 3";"9,11 EUR";"13,90 EUR";2420918;"Lindert Schnupfenbeschwerden mit verstopften Nasennebenhöhle";"Similasan Schnupfen Nr. 3";"Erkältung & Abwehr > Naturheilmittel > Homöopathie > Similasan > Erkältung > homöopathische Mittel";6;"9,11 EUR";53%;"4,79 EUR";"Similasan,Similasan Schnupfen Nr. 3";"Similasan kaufen,Similasan Schnupfen Nr. 3 kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/s/i/similasan_globuli_gegen_schnupfen_nr._3.jpg;https://www.vamida.at/similasan-globuli-gegen-schnupfen-nr-3.html;onSale;Active
