ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Adwords keywords";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P1295109-100G;"Vetren 60.000 I.E. / 100g - Gel";"14.04 EUR";"16.90 EUR";1295109;"Schnelle Abhilfe bei stumpfen Verletzungen und Venenproblemen";Vetren;"Rücken, Gelenke & Muskeln > Herz, Kreislauf & Gefäße > Schmerzmittel > Herz-Kreislauf > Blutgefäße";8;"14.04 EUR";20%;"2.86 EUR";Vetren;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1295109-100G-16485594.jpg;https://www.vamida.de/vetren-60-000-i-e-100g-gel.html;onSale;Active
AT-P3776600-48ST;"Rennie Antacidum Freshmint Lutschtabletten";"6.97 EUR";"9.00 EUR";3776600;"Schnelle und effektive Hilfe bei Sodbrennen";Rennie;"Magen & Darm > Rennie > Bayer > Verdauung";17;"6.97 EUR";29%;"2.03 EUR";Rennie;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3776600-48ST-16997911.jpg;https://www.vamida.de/rennie-antacidum-freshmint-lutschtabletten.html;onSale;Active
AT-P2438841-36ST;"Rennie Antacidum Spearmint Lutschtabletten zuckerfrei 36ST";"5.83 EUR";"7.60 EUR";2438841;"Schnelle und effektive Hilfe bei Sodbrennen";Rennie;"Magen & Darm > Rennie > Bayer > Verdauung";1;"5.83 EUR";30%;"1.77 EUR";Rennie;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2438841-36ST-17636887.jpg;https://www.vamida.de/rennie-antacidum-spearmint-lutschtabletten-zuckerfrei-36st.html;onSale;Active
AT-P0622115-50G;"Fenistil Gel 50G";"7.45 EUR";"11.90 EUR";622115;"Nach Insektenstichen und bei Sonnenbrand";Fenistil;"Allergie & Heuschnupfen > Reiseapotheke > Frisch durch den Sommer > Sonnenschutzmittel > Insektenschutzmittel > Wundversorgung";6;"7.45 EUR";60%;"4.45 EUR";Fenistil;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0622115-50G-18106917.jpg;https://www.vamida.de/fenistil-gel-50g.html;onSale;Active
AT-P1617949-1PK;"Bach Original Bach-Blüten-Set - 40x10ml - nicht mehr im Sortiment";"289.85 EUR";"341.00 EUR";1617949;;"Bach Original Bach-Blüten-Set - 40x10ml - nicht mehr im Sortiment";"Naturheilmittel > Bach Original";0;"289.85 EUR";18%;"51.15 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/a/bach_set_offen_und_geschlossen_jpg.jpg;https://www.vamida.de/bach-original-bach-bluten-set-40x10ml.html;onSale;"Not Active"
AT-P2387925-60ST;"Lucovit Ginkgo Biloba 100mg";"20.44 EUR";"19.90 EUR";2387925;"Mit chinesischer Heil- kraft das Gedächtnis stärken!";"Lucovit Ginkgo";"Herz, Kreislauf & Gefäße > homöopathische Mittel > Herz-Kreislauf > leistungssteigernde Mittel > Summer Sale 2016";0;"20.44 EUR";0%;"0.00 EUR";"Lucovit Ginkgo";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2387925-60ST-16478822.jpg;https://www.vamida.de/lucovit-ginkgo-biloba-60st.html;onSale;Active
AT-P1254582-28ST;"Nicotinell TTS 30 Depot-Pflaster 28ST";"86.37 EUR";"96.80 EUR";1254582;"Einfach aufkleben und das Rauchen vergessen";"Nicotinell TTS 30";"Raucherentwöhnung > Raucherentwöhnung > Nicotinell > Raucherentwöhnung > Summer Sale 2016";0;"86.37 EUR";12%;"10.43 EUR";"Nicotinell TTS 30";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1254582-28ST-17723534.jpg;https://www.vamida.de/nicotinell-tts-30-depot-pflaster-28st.html;onSale;Active
AT-P0062403-10ML;"Visadron Augentropfen";"4.99 EUR";"7.60 EUR";62403;"Helfen rasch bei lästigen Reizungen der Bindehaut";Visadron;"Allergie & Heuschnupfen > Reiseapotheke > Augengesundheit > Heuschnupfen & Pollenallergie > Augen & Ohren > Augen";7;"4.99 EUR";52%;"2.61 EUR";Visadron;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0062403-10ML-17721957.jpg;https://www.vamida.de/visadron-augentropfen.html;onSale;Active
AT-P1181280-20ST;"Paracetamol Genericon 500mg 20ST";"2.11 EUR";"3.25 EUR";1181280;"Lindern Schmerzen und Entzündungen schnell";Paracetamol;"Schmerzen & Verletzungen > Erkältung > Frauengesundheit > Schmerzmittel";12;"2.11 EUR";54%;"1.14 EUR";Paracetamol;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1181280-20ST-18108578.jpg;https://www.vamida.de/paracetamol-genericon-500mg-20st.html;onSale;Active
AT-P1181274-10ST;"Paracetamol Genericon 500mg 10ST";"0.91 EUR";"1.20 EUR";1181274;"Lindern Schmerzen und Entzündungen schnell";Paracetamol;"Schmerzen & Verletzungen > Erkältung > Frauengesundheit > Schmerzmittel";4;"0.91 EUR";32%;"0.29 EUR";Paracetamol;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1181274-10ST-18108550.jpg;https://www.vamida.de/paracetamol-genericon-500mg-10st.html;onSale;Active
